processed_text,airline_sentiment
would learn listen customers want want asks customer want,negative
customer service 👎,negative
priceless united stranded daughter hare united zero keep safe alone plastic chair 9h united air,negative
hi updates,neutral
could tell bag would accepted personal item bring one carry bag plus,neutral
3359 finally cancelled flightled,negative
link email offers sent year buy transfer miles last 1 expired,negative
thanks finally made missed meetings,negative
flight originally supposed leave 1 40pm not leave 5 2nd time happened,negative
supposedly delivery believe see,negative
thank yes hoping speak someone directly appreciate link nonetheless,negative
sure waited 15min yay,positive
hi jh experience united entirely disgusting yes would like assistance getting compensated bag,negative
took picture thursday awesome,positive
probably would not someone returned call email case number 8273993,negative
cannot even fit name first two lines yes please pass feedback big downgrade previous years,negative
expiring offer buy transfer united mileageplus miles discount many offers year,positive
no 2 flight cancelled flightlations one due weather one mechanical paid hotel bag held transfer no voucher compensation,negative
got email reservations got cancelled flightled refunded nothing got refunded yet,negative
offer flight cancelled flighted stranded away home work,negative
really trying today,negative
looks like settled going thanks,positive
flt 4567 two updates last 3 minutes,neutral
no busy taking needed get audition,negative
never given one,neutral
quick response offering assistance lack follow not really service expecting,negative
stuck iad going 6 hours waiting ferry flight nashville cannot tell arrive ridiculous,negative
flt 4567 no gate agent no announcements unprofessional time go back,negative
thanks kp please also mention quiche breakfast tandoori chicken dinner entrees accompaniments truly first class,positive
flt 4567 departure time changed five times last 20 minutes not figure solution announce,negative
bags still houston since friday still not reimbursed baggage fee,negative
tell,negative
flight 4567 already cancelled flightled trying get home two days staff unhelpful,negative
flight worse last flight attendants not even know whether plane equipped power outlets seats,negative
flight 4567 agent wandered pilots came looking went charge personal phone would txting,negative
waiting flight 4567 memphis incredibly rude gate agent waited departure time announce delay 1 2 rude,negative
not see need spend extra 100 equipment failure,negative
not need make changes reserved seats bought tickets error no comp seats,negative
2015 no power outlets seats 6 hour flight california seriously airlines failing pathetic,negative
thanks kp luckily transfer maintenance issues still delayed not miss transfer,negative
no not received e mails either inbox junk spam,neutral
could please send phone refunds department submitted claim email without success,negative
not person sitting denver three hours want get plane please let go home,negative
flight 441 2 4 delayed three hours pilot never showed,negative
need get ric tonight ewr 24hrs,negative
next flights miami another airline,negative
super frustrating folks united ticket counter pittsburg not honoring media rate unitedfail,negative
45 minutes arrival no bags people ua469 den ewr long wait ual rep comes,negative
policy behind changing passengers seating assignments gate,neutral
karen found unhelpful rude called united time told could board karen would not accept,negative
crossed 4 prior times carriers no issue karen rude untrained unhelpful also spoke,negative
nexus confirmed crossing via air car boat travel nexus,negative
2 employee yelled 3 employee stood others whispering pointing behind counter,negative
1 refused boarding nexus nexus confirmed not refused,negative
good note 2 employees encountered @ newark fabulous late flight connecting flight got,positive
lost bag would not refund bag fee make sense yes already called cust svc said no,negative
tried little bitty plane flying boston hate little planes,negative
good thing holding flight 11 peeps late flight connecting flight still make destination time,positive
q purchased ticket hawaii trip late flight march mean acquire miles based price distance flown,neutral
stay warm passing chicago next week,positive
refund request functionality broken get time error,negative
njairports newark land 15 minutes early lose time waiting tarmac gate,negative
giving direct flight iah honolulu 3rd attempt 3 years 3rd delay 7 meal voucher wow customer service,negative
played bizarre safety video ever seen,neutral
nearly 48 hours late flightr still no idea never fly united help,negative
1591 wi fi broken plane outage 1618 friday southwest get right every plane united cannot,negative
wifi onboard 737 800 far superior pricing performance user perceived bandwidth late flightncy recent experiences,positive
second day attempt trying leave iad another plane delayed mechanical issues hour delayed,negative
direct number call request refund telling not valid changed ticket no number site,neutral
plane coming delayed almost 7 hours no plane,negative
not fast enough no excuse service big hubs outdated craft southwest wifi awful,negative
thankful great service newark seats fixed seated daughter fab landing fort myers,positive
mother flight delayed phl ord way nrt gate refused upgrade platinum blegh,negative
late flight everyone braved weather 40 passengers waiting flight crew really,negative
miserable trip lost bag sat found mon lost shipping 2nd day ground tues might return flight home,negative
spending afternoon @ mia not fault no lounge inconvenient,negative
costumer service sucks waiting week response,negative
way get copy feb edition hemisphere magazine flying,neutral
somehow think going stuck paying hotel room denver without winter clothes dime guess see,negative
normally ask people put headphones not toddlers maybe planes kid section near back,neutral
course need help dming ladies gents day solution hope best lax,negative
confirmation number njv 4bp need email confirmation flight nyc sfo feb 4,neutral
changing mileageplus program winners losers airline travel loyalty rewards,neutral
brandi zabsonre denver deserves raise bringing delight terrible travel situation big ups,positive
thank next flight durango driving farmington new mexico work hitting slopes durango,neutral
denied use rear facing car seat ua5025 erj 145 confirm actual policy,negative
better hold flight tucson 5237 landed houston hour delay minor computer problem,negative
thanks stand know frustrating appreciate patience try get way jh,neutral
roundtrip tickets nj dramatically cheaper virgin pretty pricey via united match,neutral
dropped luggage iad 2 months ago repair damages not heard anything since get back,negative
thought thanks clarification,neutral
feck guys stop cancelled flightling flights ewr ric weather fine locations,negative
ua rolling improvements think hoping catch soon meantime ana preference,neutral
official pleasantly surprised find ana made major upgrades transpacific route flights planes service,positive
step 1 cancelled flight flight step 2 not notify customer step 3 charge food try survive wait brilliant,negative
need confirmation number give,neutral
besides no small degree self interest take route several times year would hate situation,negative
rebooked split take different flights pilot ran hours frustrating,negative
no worries tweets make sure tag line fly friendly skies,positive
thankful united ground staff put last seat last flight home late flight still home,positive
appreciate follow,positive
gist flight attendant told,negative
way true remind flight staff checking even indicating meal prefer reservation,negative
took aback response flight attendant put responsibility squarely back passenger shoulders,negative
no cld explain disorganized inefficient company w surly obviously unhappy employees stays business,negative
sat airport 5 hrs still sitting gate sigh,negative
actually not consider might made mistake not complain beyond indicated reservation,neutral
gold star united change flight miss connections cannot accommodate much late flightr arrival time not happy,negative
first class cockup,negative
day travel swag ijustwanttosleep,neutral
thank new club hare comfortable made difficult weather days proficient enjoyable,positive
filled form sent link 29 1 15 either 9 10 2 15,neutral
not let get iah hnl direct weather delay sfo leg stop reactive proactive,negative
bad coffee juice ok getphilz @ united terminal sfo airport,negative
mot getting refund,negative
nothing apparently flown w 4 times last 3 weeks 3 experiences incl today clusterfucks,negative
not get name not group sitting behind us think window seat 40 overheard,negative
know united club needs power moar power insufficient outlets roadwarrior ord,negative
thrilled carry checked two nasty gate agents see entire empty bin boarded last,negative
business usual meant dropping bully mentality fostering inspiration greater business employeerelations,negative
ridiculous fly outdated 757s anywhere much less btwn iah sfo no power ports no wifi no personal entertainment torture,negative
last night waited forever gate someone corporate dispatch forgot call crew unfriendlyskies,negative
broken entertainment system 8 hour nyc flight terrible cabin crew service online complaint form not work hopeless,negative
much cost check additional bag traveling newark glasgow thank,neutral
call work tell fault late flight,negative
new apple cr pe amazing live ua1207 really nice crew americanair biscuits ua needs 2,positive
clicked link got confused,neutral
officially worst delayed least helpful airline ever misfortune flying,negative
items sentimental value heartbroken missing,negative
even though technically land silver,neutral
still waiting reply,negative
please see flight attendant not enough room head bags carry save time,negative
wanted get bag benefit instead get 25 pricing three tickets adding card mp visa option,negative
tried 2 dm would not go thru not sure,negative
link current status flights airports fly bwi ewr mco morning yet cannot yet tell problems except see snow,negative
like delays less one plane connect voucher,negative
not hope nicer flight time try things right sold tickets connetion,negative
got gate iah time given seats closed flight know people arriving wait,negative
yes waited line almost hour passengers left not wanting wait past 1am,negative
still waiting hit one hour,negative
although not happy cancelled flighted flight home tomorrow phx atl dca happy easy rebook,negative
hello hold extremely long time confirmation cannot get boarding pass tried numerous times,negative
teaching new travelers research budget save trip today,neutral
frustrated looong wait time speak live person cannot get boarding pass flight tomorrow,negative
still no update text 2053 still no response email fr1 5 2015 sr 2567464380 28 feel like yr losing customer service care,negative
agents ones rude unhelpful prompted initial tweet easy fix,negative
wife group prev flight got bumped reason alone two kids least put group,negative
flight delayed 4 hrs 5 months pregnant supposed caring mom whose surgery upset,negative
thank much completely made things right,positive
love always get best deals,positive
follow send info,neutral
hold 34 min far trying book seat infant price increased 42 meantime,negative
glassdoor best places work snagging 15 overall notsurprising luvthem,neutral
poor performance around paid express checkin weeks ago cannot even leverage bullshit,negative
thanks make right help meagan fouty brancato fl 2771 dfw gate 4 preboard w kids group please please,positive
update emergency landing jacksonville right parentsonboard,neutral
hold 28 minutes please help,neutral
develop ding chrome firefox browser extension would swell,neutral
take midway chicago march 8th april 6th cannot make get year round flypbi,neutral
logically would think check people board could drove home time waiting,negative
thanks southwest saving trip sweetheart not going miss seeing altonbrownlive thanks sohappy,positive
someone call back hold two times today 20 min still not gotten,negative
never mind moved flight tomorrow thanks help,positive
needs wheelchair gate sure options,neutral
managed get sorted phone good luck dealing snow texas,positive
grounded 2 flights b c equipment problems rude wife traveling alone w 2 young kids never,negative
promise not unfollow 😉,neutral
dmed confirmation number,neutral
oh look delayed flight additional half hour arriving 6 officially five hours planned 😡 😡 😡 😤 😤 😤,negative
weather system outage hopefully everything goes smoothly thank follow,positive
belt issues rough day worst part traveling 9 month old wait outside 85 degree,negative
oh atlanta,neutral
moved 210pm flight 4649 main concern luggage arriving told sw,negative
used always fly southwest,positive
got bags 35 hours late flightr offer 50 go pick taxi costs 65 one way spent 200 inconvenience,negative
thanks expecting credit leg,negative
sure please follow,neutral
appreciate getting gate issue figured grr plenty open gates yet sit wait tarmac,negative
20 minutes hold waiting ridiculous,negative
seen messages past hour,negative
thank awesome flights sweetheart got screwed managed scramble get sw plane today,positive
round trip tickets arrived auction post masters invitational thanks southwest,positive
went purchase flight began processing not even 4 minutes earlier points gone help,negative
upset luggage damaged rude employee laguardia airport not help,negative
tv stream means get spend flight watching 1999 2011 women world cup finals throwback bestflightever,positive
status bag check area ffl,neutral
would least enjoy free cocktail two,positive
agree rt one airline fly away favorite dia 9newsbusiness,positive
flight 218 matters hell next not get luggage properly transferred facepalm smh,negative
phone service sucks,negative
flight bwi delayed miss flight denver way find hold plane,neutral
people exit row still supposed give verbal approvals never asked flight,negative
arrival delayed nearly 5hours yeah entire day airport not idea stress less vacation fail,negative
oh company caused us lose entire day vacation cancun de boarded waiting another plane,negative
trying change reservation hold 45 minutes cannot online directed call help,negative
first call got dropped waited 15 mins second ran time try late flightr no way online,negative
yo trying make change reservation whenever select flight says unable price please help,negative
great de boarding perfectly plane shot fml plans screwed thanks nothing,negative
teyana taylor performing medusafridays 2 27 free till 11 themenofbusiness,neutral
let us plane toilets done even work goes family vacay playa del carmen mexico neveragain,negative
thanks apology unfortunately one many bad experiences no longer flying southwest,negative
told customer service customer relations extend expiration date unused travel funds,negative
two hours ugh get vouchers inexcusable esp pre flight check ok,negative
5 30 flight birmingham tomorrow night reschedule earlier flight expected snow,neutral
follow back dm,neutral
horrible experience passenger size 1 3 seat offered 50 voucher christine c,negative
3rd time flying southwest two years another trip back mx october,neutral
yes much looking forward using airlines future flights never,negative
need learn treat people respect little dignity fail,negative
redeem points packages magically gone time finally got @ 10 01 felt like baitandswitch,negative
think get faster response twitter call,negative
idea winter advisory posted atl tomorrow 2 25 would rather get phl tonight,neutral
watch staff check passenger list twice first time forgot look ids brutal,negative
flight 2373 chi buf last night almost 2 hour delay cuz someone got plane without pass sounds safe 1 2,negative
thanks quick response action bf make good use voucher satisfied happycustomer,positive
nothing help us restore barely expired rapidrewards points,negative
rapid rewards program sold short lasttweetaboutthis still disappointed,negative
freezing plane,negative
airline people screwed boarding passes way back puerto vallarta horrible,negative
groupa group c never got sit next south west flight not even honey moon,negative
flight atlanta getting cancelled flightled schedule phone 1 5 hours rep bumping us,negative
due apparent water issue checked fine checks husband already deal first,negative
lot pissed hungry tired people stuck midway 4 2 hours scheduled departure inexcusable,negative
know lost baggage portal not work mobile 404,negative
going charge wifi us solid make sure not take length flight open page,negative
website reverted 1st flight 5 minute delay changed reliable information,negative
swa helps hotel industry always book flights day need somewhere swa consistent cancelled flights delays,negative
unfortunately call answered service horrid swa role model finger pointing excuses disappointed,negative
barzegar charges tourists 700 euros night stay tent village runs,neutral
please make sense companion promo set,neutral
unfortunately not even phone died chance grab oma san 3 27 4 2,neutral
live atlanta cannot enroll atlanta companion promotion error every time help also sent email thanks,neutral
frustrating indeed especially no one knows issue,negative
hold customer service may quicker rebooked trip lower fare difference go,negative
chantilly paris france,neutral
thanks not responding,negative
booked flight phone never got confirmation email would go getting,negative
supposed take almost 2 hours ago vacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze,negative
come not getting points buy rapid reward shopping site,negative
hey flying tampa denver today want know tv seats like,neutral
carol thrower passengers fort lauderdale airport,neutral
mins no answer wife baby need get flight arrived 2 hrs prior please help venetia crook,negative
wife 9 month old might miss flight next direct 210 pm mother law hold customer support 30,negative
flight 1614 fll atl wife traveling infant line check baggage 200 people long due computer system crash,negative
thanks sent dm let know oyu need additional information,positive
hey friends phone list number ivr hangs multiple times not sure proceed,negative
strives customer centric everything communications advertising customer journey etc anamarketers,positive
la always traffic insane cannot one issue flight 1625,negative
insane traffic la trying call schedule flight phone 20 minutes nothing,negative
airline trouble not getting satisfactory customer service contact negotiate resolutions,neutral
hey southwest help find flight nashville washington dc raleigh 150 march 15 please,neutral
no longer change trips companion online years get message cannot done online,negative
adding rr number stay hard not take rr number checkin marriott phone cs not helpful,negative
nor fly toronto killing smalls,negative
traditionally used sledge hammer low taking share driving scalpel approach data science anamarketers,neutral
customer centricity knowing people anamarketers,positive
used guys travels last experience never use southwest worstcustomerservice,negative
america largest airline passengers carried wonder b c customer service bible anamarketers,neutral
vipliveinthevieyard first time tried redeem pts anything really not go well disappointed,negative
ok thank hope,positive
way receive refund trip cancelled flight online instead calling phone lines super busy,negative
4 moms 4 careers 1 day trip la intuitlife leanin southwestairlines,positive
resource check delays cancelled flightlations love field flying tomorrow stressed weather ❄,neutral
switching planes due mechanical problems reboarding work a49 end long line stuck middle,negative
booked via phone calling list preferred not kta get added ticket must use web,negative
tried vip live vineyard yr site went time got 2 redeem pts packages gone,negative
oscar worthy entrance la,neutral
best airline hands amazing customer service bags free affordable flights happycamper,positive
thanks ella mae las counter going beyond help us get back abq flight cancelled flightled,positive
flight 2155 arrives e11 penguin plane,neutral
thank taking good care people als life story,positive
smooothest flight attendants southwestsmoothie,positive
southwest airline cancelled flight flights charleston 7 50pm flight cancelled flightation really weather relate flightd,negative
stepup makeitright best money hungry wewillsee,neutral
thanks text not exactly timely 8 data throughout issues today maybe,negative
called 800 rep pleasant less helpful told sol train consistent cx,negative
25 year customer 6 3 lost 2 3 inches really hurt every time person front shifts raps knees,negative
less 3500pts helped partnerrewards incoming not fast enough keep pts expiring,neutral
wife rr pts expired days ago planning flight booking problems trip today anything us tight budget,neutral
would great atleast next husband flying reservation,negative
customer relations still not open texas,negative
thank tip,positive
hate evolved seating knees seat pocket,negative
thanks team dealing flight 1700 houston,positive
bumped preboard flights fat whatever reason thanks,positive
heart southwest commercials aimed satisfy nano smattering travelers destinations,negative
urgently need two receipts sent cs closed help,neutral
etd swa 1004 phl appears delayed no info available gate,negative
tell cancelled flightled flight vs delay,negative
birthday yesterday girl gave birth first born could not get courtesy flight change lynn thanks,negative
cb know,neutral
no need know status cancelled flightled instead delaying flight,negative
weather time cancelled flighted no cannot meeting today,negative
flight not empty rude not,neutral
left ipad seat pocket filed lost item report received exactly 1 week late flightr record unbelievable,positive
flight 4471 msp cancelled flighted,negative
love please stop overheating planes second flight row feels like sauna,negative
not one traveling asking sister waiting nephew midland flight eventually landed,neutral
anyone help upgrade buisness select cannot seem get hail right area know guys good,positive
asked lindsey call instead dm like schoolgirl far no call getting tired typing little notes,negative
give us clever advertising bagsflyfree badpolicy allows cheatcustomers,negative
principle hard get mugged not upset took money not give anything wrongiswrong,negative
customer service not use words wasted time took money badbussiness theft,negative
three hour flight orlando no wifi uncool firstworldproblems,negative
loving new planes lighting wish windows larger,positive
would like ask bags picked pit taken hotel airport someone contact,negative
customer service fll bwi pit terrible no one knows bags job no clothes gear,negative
multiple attempts finally able submit late flight last night,negative
4am arrive find already cancelled flighted no options miss meeting might know not show,negative
new day new chance right thing never late flight honest,neutral
darn bought wrong device no way switch sure,negative
quick question bought wifi phone buy tablet 9 hours left trip,neutral
cool shot moon one fleet,positive
hello swa poc partnerships nonprofit organizations bwi area,neutral
hey remember time lost husbands bags filmjobnoequipment nowarmclothes,negative
looking forward flying swa friday love airline dtw mdw tus,positive
love airline much thanks much service great snacks amazing everything outstanding thanks,positive
need redeem lost respect tonight lostbags filmjobnoequipment,negative
way fuck lose istudios bags husband no warm clothes no equipment youdidit notcool,negative
assigned seating cousin probably cannot sit together flight tomorrow thanks,neutral
wifi stays connected lifetime higgs boson,negative
forget wedding fairs discounts nonprofits donate part worth every single day,neutral
phone agents able give correct departure times cun checkin online international,negative
making miss thebachelor right wah,negative
please lower plane flight like 100 bucks thanks floridavacation,neutral
great flight cabo last week family smoothflight frequentflyer,positive
let bags flutter charge travelers change dates fullprice not let travel,negative
late flightst ad makes happy flying days bethonors 👏 👏 👏,positive
fact see black history month 12 months year honorable economic base corp like future,positive
offer cdn border towns incentive fly since exchange rates hurt customerappreciation gaincustomers keepem 2,neutral
awesome flight dallas 2 ny virgin america refused child peanut allergy guys not thanks 👍 😊,positive
not let send dm not follow lovedflyingwiththem notanymore wrong badpolicy,negative
reference 2610939297 56,neutral
welcome thoughts nearly entire plane,negative
know reason flight 336 dallas midland diverted lubbock suppose direct midland,neutral
flight wifi wifi calling makes best combination not love texting 40 000 feet air,positive
become like every airline crooked cannot believe taking 500 shouldwearmasks shocked,negative
conf f8neqm flight delayed 3 hours friend waited birthday please follow,negative
twitter cust svc rule 1 not say fell short told 2 cannot solve problem not say anything,negative
disappointed service received checked online checked flight status online checked airport,negative
great day air,positive
thanks two smooth safe fast flights boston houston luvswa,positive
really love customer service lou ann phx rocks thanks sw ourguest,positive
see atl congrats destinationdragons winners ready atlanta,neutral
enrolled atl companion pass offer booked 3 flights already may 17 start using pass,neutral
disappointed customer service right definitely not feeling love worse 2nd time winter,negative
follow back dm info,neutral
katie gate c47 denver international fantastic customer service helping 2 new flyers thanks amazing staff,positive
kudos bag handler dtw gate 21 7 10 pm ran keep bags hitting ground 9 degree temp,negative
crew flight 206 awesome tell sent tweet maybe give free wifi canthurtasking,positive
thankyou ❤,positive
much wifi fam,neutral
tried okay 😔,neutral
happy enter sweepstakes nutsaboutsouthwest,positive
thanks great customer service today 👍 👌,positive
vinyl part prize,neutral
beyond ready,positive
called told bag made phl still not delivered call delivery service,negative
looks like brooding skies ont evening,neutral
no monkey business love swa mdw 2mci homeandreadyfornexttrip,neutral
favorite airlines never issues plus crew entertaining,positive
way give voice customers pay services not satisfactorily delivered justsayin,negative
flight attendants really funny sass giving life 😂,positive
genuinely surprised not upgrade people cancelled flight flights least put comparable spot,negative
following thank,positive
would someone please dm customer relations number website customer service,negative
second time row not received text updates flight time change not offer not use,negative
cancelled flightled flight back queue want charge 200 business class stay classy,negative
hope flyers get credit sort delays cancelled flightlations shittydeal notimpressed,negative
taylor got love swa responsiveness @very least huh,negative
good thanks,positive
love taking money taking halfway home sorry late flight,negative
oh ok good looking forward escaping cold bit thanks,negative
wifi slow point one cannot get internet ugh,negative
questions flying maltese puppy dm,neutral
word customer relations department open back,neutral
tell flight 805 mdw fll tomorrow 2 24 full capacity hoping little bit extra room 😊,neutral
left friday,neutral
oh no worries never seen today mean great card 😀,positive
thank thank thank last attempt win destinationdragons tickets success could not happier,positive
flight 1700 phx lax wheels stop glad home thanks professionals front cabin,positive
eyes next steps improving inflight wifi runway girl,positive
could maybe hook imagine dragon tickets tonight hugeee fan would really love go,neutral
not evennotified us theflight isdelayed via email text phone call wererunning late flight would pissed unreliable,negative
tweet weekend bad weather closes customer relations center process refunds cancelled flighted flights,negative
stop cancelled flighting flight us history tests take chemistry things learn not understand,negative
2 22 mdw 2 san flt 1687 attendant melissa awesome fast smiling great weather cancelled flight day welcome,positive
area pic taken not see albums,negative
enjoyed call good friend flight booking problems flights elsewhere tweet one time tell many,neutral
thank great customer service far accidents happen understand hopefully everything works,positive
question crazy boarding procedure confusion prevent fistfights good seats,negative
opened online applications fall 2015 intern positions throughout company apply via,neutral
honesty always policy,neutral
thanks quick response call daily wait 5 days,positive
knew correct,neutral
briughy aif 2015 much agcommunity,neutral
deals orlando april may,neutral
magazine feature desk plants increase productivity 15 luvswa healthbenefitsofplants gardening,neutral
prove cuz southwest people not even know behind schedule,negative
seeing workers time time going beyond love flying guys thank,positive
bae lost bags no clue happened 36 hours,negative
prove,negative
travel agent darrel love field hosting paper airplane contest entertain children awesome see,positive
big kudos staff today dallas love field lifting everyone spirits today delays cancelled flightlations,positive
not fun delay nashville las vegas crew gate c9 desk awesome patience luvswa,positive
thinks 100 voucher makes spending 4 hrs plane landing airport took really,negative
never got strip fast stoked special show tonight thanks,positive
problem apologies not help results matter proving impossible find anyone interested,negative
no fare giving clues route,neutral
telling fam vegas,positive
many tickets left,neutral
new mkt strategy average like rest whathappend rr points devalued,negative
scavenger hunt locations anything common playing detective trying figure one atl,negative
18 😭,neutral
ruined sunday 3 hours delays dia bags wrong airport 35 deliver insult injury,negative
bring back jackson ms miss terribly around airlines horrible,positive
idea tsa pre check not showing next flight tomorrow number profile,neutral
3 hours 80 degree difference yes please mht mco,positive
sent looking functionality app though one click action,negative
still posted downtown waiting way,neutral
like kelsey said really bad spot locals know long takes find parking walking bellagio,negative
5 people,neutral
looks like bellagio good luck people see show vinyl,positive
congrats fans seeing destinationdragons l slc next thanks sw,neutral
pair tickets waiting sports practice live definitely know,positive
love southwest guys good,positive
destinationdragon tix tonite inconvenience since not play scavenger hunt,negative
dang practice hour late flightr today,neutral
supposed say boo not book booo,neutral
vegas 5 days ago miss warm weather,neutral
crew 3138 great job keeping everyone informed delays givethemraises,positive
right delayed crabby also allow one family member purchase earlybird check hold rows,negative
really easy locals get strip book,positive
grrr need flight first maybe birthday next month,neutral
love new love television commercials traveled airline last year return trip nyc feltthelove,positive
possible add travel arranged employer upcoming travel retrieve reservation,neutral
sent email customer relations calling tomorrow,neutral
get priority seating already paid flight,neutral
10 people pre boarded 1 needed wheel chair plane not case boarding,negative
possible add companion 2nd leg trip,neutral
best airline 👌,positive
netneutrality nice see prioritize internet traffic streaming service web sites,positive
poor customer service displayed weekend storm stuck tarmac 2 5 hours no answer,negative
northern california coast,neutral
watching planes thing,neutral
thanks getting us paradise safely,positive
feeling frustrated bought wifi onboard cannot load email,negative
continues prove best airlines 💪,neutral
go ahead start scavenger hunt 5 pm today work destinationdragons,positive
let one person board early bird save seats entire party notcool flight 2149,negative
awesome staff check desk paper airplane race sw gift card keep people entertained delays,positive
get gin tonic,negative
sick joke toyingwithouremotions,negative
please explain every flight dallas going today except 6 35 pm,negative
continue airline choice frustrating travel day experienced 5 delays 4 gate changes,negative
got call apologizing personally long waits last week trying rebook flights class act appreciate,positive
serious potential want get away commercial debacle real fire capel,negative
appreciate response constant changing flight time frustrating say least toughtomakeplans,negative
long delayed boarding get free drink gettingthirsty,negative
done sorry thought already,neutral
not seem fair bags need fit seats need fit,negative
terry hero got husband back thru security retrieve cellphone left plane austin terry 85832 rock,positive
wanted 2 change anytime flight leaving 11 50 @ 11 00 phone hold 4 46mins phone answers says sorry no dice,negative
not sincere cancelled flighted flight made drive 17 hours get home,negative
terry hero got husband back thru security retrieve cellphone austin terry 85832 rock,positive
thanks guys best,positive
stick flying free southwest goes son works wonderful company moms fly free,positive
could control weather las vegas 😉,neutral
pretty terrible customer service sat hold 10 min busy signal disconnected airlines suck,negative
could please tell way add rr flight already took place,neutral
hooking us getting us tampa flight cancelled flightled morning grateful businesstrip,negative
love passbook update used day released finally thank,positive
ticket booked 1 27 cun arrival time reflect cun est time,neutral
yes hope update soon need clothes meeting tomorrow,negative
safety dos ts announcer flight 651 midway mdw pittsburgh pit,positive
not fair set payed full seat get access full seat,negative
sorry bother hold 2 hours 30 minutes continue holding call back,negative
another great trip lax 823 las 3075 bna thanks much,positive
checkin lame business really last seat broad shoulders haha,negative
yeah somewhere hopefully getting back today frustrated tweeting,negative
completely understand act god weather relate flightd cancelled flightlation 4 days without reimbursement kind unacceptable,negative
expensive go vegas stops late flight june get non stop competition,negative
delayed twice cancelled flighted sent complaint email yet no response need explanation pls notsatisfied smh unhappy,negative
got help nice lady phone georgia thank,positive
flight resume see open schedule,negative
understand weather kids need get home nice kids volunteer work ri high school please help,neutral
thanks quick reply travel lot not much lol,positive
sound hopeful thin device hope right person found time,negative
bag not shown love not make phl,negative
regret not flying morning not support business travelers neverflyvirginforbusiness,negative
thanks go motions shortly flight yesterday wonder quickly flight attendants notified,positive
many others not know stopping non stop flights atl hartford ct april,negative
thanks lindsey idea get stuck denver told listen intercom better,neutral
nice touch passbook integration,positive
easy fix let business select actually board 1st board pre boards,neutral
companion pass flyer airlines abused @ every airport,negative
not disappointment blatant disregard business select customers becoming problem pushing,negative
need assistance getting extension flight expired,neutral
awesome thanks guys rock,positive
hello remaining credits account refunded back credit card choose lower price flight,negative
expect customer service dallas available,neutral
eventually arrived seemed really slow,negative
bags way chicago without help confirmed 2 flights told not room screwed,negative
recieved email memphis station hopefully bag,negative
landed phl row 9 window cover n366sw could use love,negative
thanks adding passbook ability hopefully group passbook tickets future somehow,positive
yep 99 999 certain flight,negative
arrived late flight pilots got us dia time impressive outstanding greatservice allgood,positive
would appreciate thank,positive
never got email confirmation ticket credit card charged phone wait time crazy chat,negative
res chg online app no work still hold faster hubby drive airport make change @ counter fail,negative
wife rr points transferred rr account,neutral
friends boston stuck denver name jane please contact,negative
no one find bag need everything next two hours,negative
not able sit seat since guy next using worstflightever ideserveareward,negative
glad know flying love airline tomorrow,positive
yes file report treated rather rudely midway baggage claim wait 2 days get luggage,negative
would still companion pass ridiculous airline not stopped partnering hilton hotels genius,negative
got companion pass trying add companion flgt get purchase error invalid loyalty member account status help,negative
still not heard thing,negative
thank great customer service trying make san antonio staff alerts helpful boo ice,positive
open seating like open marriage much love strangers,positive
hope not real life scene movie flight,negative
thanks flights operating cancelled flightled,neutral
checked right 24hr mark boarding c group kids ages 6 8 dnt want split sld,neutral
name jane wanted call 617 653 3040,negative
love flying southwest excellent service not take seriously,positive
even better price changed 2 minutes since talked lady still honored cheap 1,positive
hello flights taking airport noon supposed travel flight 376 san antonio,neutral
invite fallow learn activities prevention programs health condom rito family r 501 c 3,neutral
unveils 4 new flights including 2 ohio,neutral
start daily b737 700 flights washington reagan ftlauderdale 8aug avgeek,neutral
end daily b737 700 flights washington reagan ftmyers 8aug avgeek,neutral
start 2xdaily b737 700 flights orangecounty portland 8aug avgeek,neutral
start daily b737 700 flights columbus oh oakland 8aug avgeek,neutral
start 2xdaily b737 700 flights columbus oh boston 8aug avgeek,neutral
password reset email incredibly slow arrive today checked spam folder web site says minutes 15,negative
thank may already responded 8uxzj2,neutral
terrible service three airports 10 hours glad not care kind need home sellmypointssoon,negative
thanks confirmation number dmed appreciate help,positive
hold 15 min no estimated answer time help,negative
going start charging consistent body pat downs starting feel like piece meat punishedforflying,negative
wait times customer service line tried 2x fri 15 min,negative
equip 737 flamethrowers snow plow,neutral
unveils 4 new routes including 2 ohio via,neutral
flight 1028 no delayed 1 5 hours another week another delayed flight,negative
thanks linking passbook might old news first 2015 flight,neutral
not realize no clothes hotel suggestions,neutral
may want direct people tok,neutral
bag possession no clothes bag,negative
really going let get best,negative
please get back airtran credit q4vnmb call told never get email call back,negative
link site displays delays cancelled flightations flights,neutral
pleaseee resume direct flights fll phl not want fly anyone else 😩 😫 😢,negative
show destination no clothes suitcase nakedmeetings awkward,negative
discounts every tuesday leaving fron birmingham airport san fran next week march sometime,neutral
anyone realize banning peanuts flight due allergic person ignores p nut oil dust previous flights,negative
customer service rude bothered calls no idea going sighed heavily phone unbelievable,negative
3 5 hrs late flightr no human interaction ended ing completely new flight last flight not sell,negative
loses baggage day ago still no idea interest finding items new job bag unacceptable,negative
get companion pass thanks lin,neutral
sent dm thanks attentiveness matter,positive
fixing wifi 3rd flight not working 800 series plane not like old plane,negative
